,Survived,Name,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize
0,0,"Braund, Mr. Owen Harris",0,22.0,1,0,7.25,Southampton,2
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38.0,1,0,71.2833,Cherbourg,2
2,1,"Heikkinen, Miss. Laina",1,26.0,0,0,7.925,Southampton,1
3,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,53.1,Southampton,2
4,0,"Allen, Mr. William Henry",0,35.0,0,0,8.05,Southampton,1
5,0,"Moran, Mr. James",0,28.0,0,0,8.4583,Queenstown,1
6,0,"McCarthy, Mr. Timothy J",0,54.0,0,0,51.8625,Southampton,1
7,0,"Palsson, Master. Gosta Leonard",0,2.0,3,1,21.075,Southampton,5
8,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27.0,0,2,11.1333,Southampton,3
9,1,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,30.0708,Cherbourg,2
10,1,"Sandstrom, Miss. Marguerite Rut",1,4.0,1,1,16.7,Southampton,3
11,1,"Bonnell, Miss. Elizabeth",1,58.0,0,0,26.55,Southampton,1
12,0,"Saundercock, Mr. William Henry",0,20.0,0,0,8.05,Southampton,1
13,0,"Andersson, Mr. Anders Johan",0,39.0,1,5,31.275,Southampton,7
14,0,"Vestrom, Miss. Hulda Amanda Adolfina",1,14.0,0,0,7.8542,Southampton,1
15,1,"Hewlett, Mrs. (Mary D Kingcome) ",1,55.0,0,0,16.0,Southampton,1
16,0,"Rice, Master. Eugene",0,2.0,4,1,29.125,Queenstown,6
17,1,"Williams, Mr. Charles Eugene",0,28.0,0,0,13.0,Southampton,1
18,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31.0,1,0,18.0,Southampton,2
19,1,"Masselmani, Mrs. Fatima",1,28.0,0,0,7.225,Cherbourg,1
20,0,"Fynney, Mr. Joseph J",0,35.0,0,0,26.0,Southampton,1
21,1,"Beesley, Mr. Lawrence",0,34.0,0,0,13.0,Southampton,1
22,1,"McGowan, Miss. Anna ""Annie""",1,15.0,0,0,8.0292,Queenstown,1
23,1,"Sloper, Mr. William Thompson",0,28.0,0,0,35.5,Southampton,1
24,0,"Palsson, Miss. Torborg Danira",1,8.0,3,1,21.075,Southampton,5
25,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38.0,1,5,31.3875,Southampton,7
26,0,"Emir, Mr. Farred Chehab",0,28.0,0,0,7.225,Cherbourg,1
27,0,"Fortune, Mr. Charles Alexander",0,19.0,3,2,263.0,Southampton,6
28,1,"O'Dwyer, Miss. Ellen ""Nellie""",1,28.0,0,0,7.8792,Queenstown,1
29,0,"Todoroff, Mr. Lalio",0,28.0,0,0,7.8958,Southampton,1
30,0,"Uruchurtu, Don. Manuel E",0,40.0,0,0,27.7208,Cherbourg,1
31,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,28.0,1,0,146.5208,Cherbourg,2
32,1,"Glynn, Miss. Mary Agatha",1,28.0,0,0,7.75,Queenstown,1
33,0,"Wheadon, Mr. Edward H",0,66.0,0,0,10.5,Southampton,1
34,0,"Meyer, Mr. Edgar Joseph",0,28.0,1,0,82.1708,Cherbourg,2
35,0,"Holverson, Mr. Alexander Oskar",0,42.0,1,0,52.0,Southampton,2
36,1,"Mamee, Mr. Hanna",0,28.0,0,0,7.2292,Cherbourg,1
37,0,"Cann, Mr. Ernest Charles",0,21.0,0,0,8.05,Southampton,1
38,0,"Vander Planke, Miss. Augusta Maria",1,18.0,2,0,18.0,Southampton,3
39,1,"Nicola-Yarred, Miss. Jamila",1,14.0,1,0,11.2417,Cherbourg,2
40,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40.0,1,0,9.475,Southampton,2
41,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27.0,1,0,21.0,Southampton,2
42,0,"Kraeff, Mr. Theodor",0,28.0,0,0,7.8958,Cherbourg,1
43,1,"Laroche, Miss. Simonne Marie Anne Andree",1,3.0,1,2,41.5792,Cherbourg,4
44,1,"Devaney, Miss. Margaret Delia",1,19.0,0,0,7.8792,Queenstown,1
45,0,"Rogers, Mr. William John",0,28.0,0,0,8.05,Southampton,1
46,0,"Lennon, Mr. Denis",0,28.0,1,0,15.5,Queenstown,2
47,1,"O'Driscoll, Miss. Bridget",1,28.0,0,0,7.75,Queenstown,1
48,0,"Samaan, Mr. Youssef",0,28.0,2,0,21.6792,Cherbourg,3
49,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18.0,1,0,17.8,Southampton,2
50,0,"Panula, Master. Juha Niilo",0,7.0,4,1,39.6875,Southampton,6
51,0,"Nosworthy, Mr. Richard Cater",0,21.0,0,0,7.8,Southampton,1
52,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49.0,1,0,76.7292,Cherbourg,2
53,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29.0,1,0,26.0,Southampton,2
54,0,"Ostby, Mr. Engelhart Cornelius",0,65.0,0,1,61.9792,Cherbourg,2
55,1,"Woolner, Mr. Hugh",0,28.0,0,0,35.5,Southampton,1
56,1,"Rugg, Miss. Emily",1,21.0,0,0,10.5,Southampton,1
57,0,"Novel, Mr. Mansouer",0,28.5,0,0,7.2292,Cherbourg,1
58,1,"West, Miss. Constance Mirium",1,5.0,1,2,27.75,Southampton,4
59,0,"Goodwin, Master. William Frederick",0,11.0,5,2,46.9,Southampton,8
60,0,"Sirayanian, Mr. Orsen",0,22.0,0,0,7.2292,Cherbourg,1
62,0,"Harris, Mr. Henry Birkhardt",0,45.0,1,0,83.475,Southampton,2
63,0,"Skoog, Master. Harald",0,4.0,3,2,27.9,Southampton,6
64,0,"Stewart, Mr. Albert A",0,28.0,0,0,27.7208,Cherbourg,1
65,1,"Moubarek, Master. Gerios",0,28.0,1,1,15.2458,Cherbourg,3
66,1,"Nye, Mrs. (Elizabeth Ramell)",1,29.0,0,0,10.5,Southampton,1
67,0,"Crease, Mr. Ernest James",0,19.0,0,0,8.1583,Southampton,1
68,1,"Andersson, Miss. Erna Alexandra",1,17.0,4,2,7.925,Southampton,7
69,0,"Kink, Mr. Vincenz",0,26.0,2,0,8.6625,Southampton,3
70,0,"Jenkin, Mr. Stephen Curnow",0,32.0,0,0,10.5,Southampton,1
71,0,"Goodwin, Miss. Lillian Amy",1,16.0,5,2,46.9,Southampton,8
72,0,"Hood, Mr. Ambrose Jr",0,21.0,0,0,73.5,Southampton,1
73,0,"Chronopoulos, Mr. Apostolos",0,26.0,1,0,14.4542,Cherbourg,2
74,1,"Bing, Mr. Lee",0,32.0,0,0,56.4958,Southampton,1
75,0,"Moen, Mr. Sigurd Hansen",0,25.0,0,0,7.65,Southampton,1
76,0,"Staneff, Mr. Ivan",0,28.0,0,0,7.8958,Southampton,1
77,0,"Moutal, Mr. Rahamin Haim",0,28.0,0,0,8.05,Southampton,1
78,1,"Caldwell, Master. Alden Gates",0,0.83,0,2,29.0,Southampton,3
79,1,"Dowdell, Miss. Elizabeth",1,30.0,0,0,12.475,Southampton,1
80,0,"Waelens, Mr. Achille",0,22.0,0,0,9.0,Southampton,1
81,1,"Sheerlinck, Mr. Jan Baptist",0,29.0,0,0,9.5,Southampton,1
82,1,"McDermott, Miss. Brigdet Delia",1,28.0,0,0,7.7875,Queenstown,1
83,0,"Carrau, Mr. Francisco M",0,28.0,0,0,47.1,Southampton,1
84,1,"Ilett, Miss. Bertha",1,17.0,0,0,10.5,Southampton,1
85,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33.0,3,0,15.85,Southampton,4
86,0,"Ford, Mr. William Neal",0,16.0,1,3,34.375,Southampton,5
87,0,"Slocovski, Mr. Selman Francis",0,28.0,0,0,8.05,Southampton,1
88,1,"Fortune, Miss. Mabel Helen",1,23.0,3,2,263.0,Southampton,6
89,0,"Celotti, Mr. Francesco",0,24.0,0,0,8.05,Southampton,1
90,0,"Christmann, Mr. Emil",0,29.0,0,0,8.05,Southampton,1
91,0,"Andreasson, Mr. Paul Edvin",0,20.0,0,0,7.8542,Southampton,1
92,0,"Chaffee, Mr. Herbert Fuller",0,46.0,1,0,61.175,Southampton,2
93,0,"Dean, Mr. Bertram Frank",0,26.0,1,2,20.575,Southampton,4
94,0,"Coxon, Mr. Daniel",0,59.0,0,0,7.25,Southampton,1
95,0,"Shorney, Mr. Charles Joseph",0,28.0,0,0,8.05,Southampton,1
96,0,"Goldschmidt, Mr. George B",0,71.0,0,0,34.6542,Cherbourg,1
97,1,"Greenfield, Mr. William Bertram",0,23.0,0,1,63.3583,Cherbourg,2
98,1,"Doling, Mrs. John T (Ada Julia Bone)",1,34.0,0,1,23.0,Southampton,2
99,0,"Kantor, Mr. Sinai",0,34.0,1,0,26.0,Southampton,2
100,0,"Petranec, Miss. Matilda",1,28.0,0,0,7.8958,Southampton,1
101,0,"Petroff, Mr. Pastcho (""Pentcho"")",0,28.0,0,0,7.8958,Southampton,1
102,0,"White, Mr. Richard Frasar",0,21.0,0,1,77.2875,Southampton,2
103,0,"Johansson, Mr. Gustaf Joel",0,33.0,0,0,8.6542,Southampton,1
104,0,"Gustafsson, Mr. Anders Vilhelm",0,37.0,2,0,7.925,Southampton,3
105,0,"Mionoff, Mr. Stoytcho",0,28.0,0,0,7.8958,Southampton,1
106,1,"Salkjelsvik, Miss. Anna Kristine",1,21.0,0,0,7.65,Southampton,1
107,1,"Moss, Mr. Albert Johan",0,28.0,0,0,7.775,Southampton,1
108,0,"Rekic, Mr. Tido",0,38.0,0,0,7.8958,Southampton,1
